fips,ProbNextOcc
1001,0.000126269
1003,0.000235216
1005,0.000104509
1007,0.000101704
1009,9.47E-05
1011,9.93E-05
1013,9.49E-05
1015,0.00012415
1017,9.39E-05
1019,9.01E-05
1021,9.82E-05
1023,9.36E-05
1025,0.000100453
1027,9.20E-05
1029,8.70E-05
1031,0.000117632
1033,0.000105068
1035,9.42E-05
1037,9.26E-05
1039,0.000102607
1041,9.24E-05
1043,0.000111774
1045,0.000103517
1047,9.91E-05
1049,0.000103458
1051,0.00013024
1053,0.000113209
1055,0.000119817
1057,8.72E-05
1059,8.87E-05
1061,9.28E-05
1063,9.35E-05
1065,9.22E-05
1067,9.55E-05
1069,0.000126704
1071,9.46E-05
1073,0.001360891
1075,8.68E-05
1077,0.000124554
1079,8.80E-05
1081,0.000207954
1083,0.000123463
1085,9.35E-05
1087,9.73E-05
1089,0.000540985
1091,9.32E-05
1093,8.90E-05
1095,0.000115302
1097,0.000281057
1099,9.50E-05
1101,0.000287543
1103,0.000123348
1105,9.41E-05
1107,8.83E-05
1109,0.000104695
1111,9.33E-05
1113,0.000108144
1115,0.000116829
1117,0.000267321
1119,9.44E-05
1121,0.000116838
1123,9.86E-05
1125,0.00020985
1127,0.000101693
1129,0.000181663
1131,9.33E-05
1133,8.82E-05
4001,0.000104619
4003,0.000175419
4005,0.00020465
4007,0.000119581
4009,0.000121357
4011,9.00E-05
4012,0.000154798
4013,0.009011601
4015,0.000160625
4017,0.00013104
4019,0.002480081
4021,0.000322641
4023,0.000111185
4025,0.00024863
4027,0.000229714
5001,8.73E-05
5003,9.16E-05
5005,0.000100964
5007,0.000248644
5009,9.71E-05
5011,8.67E-05
5013,8.71E-05
5015,9.72E-05
5017,9.57E-05
5019,9.22E-05
5021,8.66E-05
5023,9.46E-05
5025,8.67E-05
5027,8.94E-05
5029,8.89E-05
5031,0.000127637
5033,9.53E-05
5035,9.50E-05
5037,8.77E-05
5039,9.29E-05
5041,8.79E-05
5043,8.98E-05
5045,0.000150152
5047,8.69E-05
5049,0.000139488
5051,0.000122198
5053,8.85E-05
5055,9.20E-05
5057,8.80E-05
5059,9.11E-05
5061,8.72E-05
5063,9.80E-05
5065,8.84E-05
5067,0.000118238
5069,0.000110471
5071,8.85E-05
5073,8.67E-05
5075,8.74E-05
5077,0.000116665
5079,0.000120314
5081,9.20E-05
5083,8.69E-05
5085,0.00010694
5087,8.76E-05
5089,9.38E-05
5091,9.14E-05
5093,9.03E-05
5095,8.72E-05
5097,8.69E-05
5099,8.73E-05
5101,8.72E-05
5103,8.94E-05
5105,8.65E-05
5107,8.76E-05
5109,9.23E-05
5111,8.70E-05
5113,8.74E-05
5115,0.000111417
5117,8.64E-05
5119,0.000427786
5121,8.84E-05
5123,9.91E-05
5125,0.000136697
5127,8.68E-05
5129,8.67E-05
5131,0.000121466
5133,9.20E-05
5135,9.22E-05
5137,8.80E-05
5139,9.20E-05
5141,8.78E-05
5143,0.000240806
5145,0.000125396
5147,9.49E-05
5149,8.92E-05
6001,0.005292894
6003,0.000369847
6005,0.000269775
6007,0.000281888
6009,0.000227156
6011,0.000149684
6013,0.003063971
6015,0.000353676
6017,0.000459518
6019,0.00077549
6021,0.00014483
6023,0.000376026
6025,0.000381564
6027,0.000155491
6029,0.000491414
6031,0.000240402
6033,0.000357307
6035,0.000177282
6037,0.008266974
6039,0.000213617
6041,0.00147195
6043,0.000147606
6045,0.000300194
6047,0.000229543
6049,0.00011888
6051,0.000137595
6053,0.000398029
6055,0.000319751
6057,0.00042726
6059,0.005092511
6061,0.000502303
6063,0.000325748
6065,0.002675733
6067,0.003281874
6069,0.000135384
6071,0.004286696
6073,0.005762807
6075,0.00472644
6077,0.000464582
6079,0.000349044
6081,0.003806068
6083,0.00058204
6085,0.004593059
6087,0.000476513
6089,0.000237182
6091,0.000369561
6093,0.000144161
6095,0.000341449
6097,0.000805022
6099,0.00036725
6101,0.000170284
6103,0.000162061
6105,0.000214323
6107,0.0003833
6109,0.000385609
6111,0.002092434
6113,0.000345664
6115,0.000214274
8001,0.000287296
8003,0.000114932
8005,0.002966681
8007,0.000122209
8009,0.000102271
8011,0.000136768
8013,0.001149768
8014,0.000191496
8015,0.000148366
8017,0.000101522
8019,0.000144999
8021,0.000118003
8023,0.000123918
8025,0.000137525
8027,0.000123223
8029,0.000112511
8031,0.0027181
8033,0.000117144
8035,0.000723151
8037,0.000186902
8039,0.000119076
8041,0.001983747
8043,0.000154223
8045,0.000150125
8047,0.000149495
8049,0.000133041
8051,0.000137424
8053,0.000134942
8055,0.000107635
8057,0.000122329
