fips,ProbNextOcc
1001,0.000134752
1003,0.000247188
1005,0.000102841
1007,0.000100284
1009,9.56E-05
1011,9.91E-05
1013,9.29E-05
1015,0.000133764
1017,9.19E-05
1019,8.97E-05
1021,9.78E-05
1023,9.10E-05
1025,9.73E-05
1027,8.94E-05
1029,8.56E-05
1031,0.000120935
1033,0.000107934
1035,9.14E-05
1037,8.99E-05
1039,0.000100835
1041,8.97E-05
1043,0.000115119
1045,0.00010501
1047,9.83E-05
1049,0.000106902
1051,0.000143342
1053,0.000109599
1055,0.000129126
1057,8.58E-05
1059,8.77E-05
1061,9.06E-05
1063,9.09E-05
1065,8.96E-05
1067,9.47E-05
1069,0.00013476
1071,9.59E-05
1073,0.001412866
1075,8.52E-05
1077,0.000136061
1079,8.67E-05
1081,0.000219789
1083,0.000135394
1085,9.09E-05
1087,9.80E-05
1089,0.000541143
1091,9.09E-05
1093,8.82E-05
1095,0.000120345
1097,0.000278868
1099,9.28E-05
1101,0.000288538
1103,0.000133228
1105,9.16E-05
1107,8.65E-05
1109,0.000107743
1111,9.12E-05
1113,0.000109775
1115,0.000121304
1117,0.000283534
1119,9.21E-05
1121,0.000118491
1123,9.86E-05
1125,0.000221063
1127,0.000105176
1129,0.000170728
1131,9.07E-05
1133,8.72E-05
4001,0.000105579
4003,0.000200731
4005,0.000215956
4007,0.000120344
4009,0.000119362
4011,8.82E-05
4012,0.000150363
4013,0.009057498
4015,0.000171699
4017,0.000141099
4019,0.00246059
4021,0.000319012
4023,0.000112203
4025,0.000250701
4027,0.000233991
5001,8.60E-05
5003,9.01E-05
5005,0.000101614
5007,0.000255366
5009,9.64E-05
5011,8.51E-05
5013,8.56E-05
5015,9.69E-05
5017,9.33E-05
5019,9.42E-05
5021,8.51E-05
5023,9.32E-05
5025,8.52E-05
5027,8.91E-05
5029,8.76E-05
5031,0.000140366
5033,9.67E-05
5035,9.66E-05
5037,8.67E-05
5039,9.07E-05
5041,8.64E-05
5043,8.85E-05
5045,0.000169239
5047,8.53E-05
5049,0.000126849
5051,0.000132204
5053,8.76E-05
5055,9.25E-05
5057,8.68E-05
5059,9.08E-05
5061,8.57E-05
5063,9.76E-05
5065,8.70E-05
5067,0.000123398
5069,0.0001137
5071,8.76E-05
5073,8.51E-05
5075,8.60E-05
5077,0.000119303
5079,0.000122886
5081,8.93E-05
5083,8.53E-05
5085,0.00010973
5087,8.59E-05
5089,9.16E-05
5091,9.17E-05
5093,9.00E-05
5095,8.57E-05
5097,8.53E-05
5099,8.57E-05
5101,8.54E-05
5103,8.89E-05
5105,8.48E-05
5107,8.64E-05
5109,8.98E-05
5111,8.56E-05
5113,8.61E-05
5115,0.000114653
5117,8.49E-05
5119,0.000424637
5121,8.78E-05
5123,9.92E-05
5125,0.000153158
5127,8.51E-05
5129,8.52E-05
5131,0.000130449
5133,8.94E-05
5135,8.96E-05
5137,8.67E-05
5139,9.25E-05
5141,8.65E-05
5143,0.000246988
5145,0.000134245
5147,9.19E-05
5149,8.74E-05
6001,0.005249375
6003,0.000360292
6005,0.000255406
6007,0.000280363
6009,0.000210159
6011,0.00013481
6013,0.003083739
6015,0.000337833
6017,0.000464188
6019,0.000769006
6021,0.000130462
6023,0.000367269
6025,0.00039541
6027,0.000149119
6029,0.000480332
6031,0.000240152
6033,0.000344537
6035,0.000177305
6037,0.008218283
6039,0.000224699
6041,0.001472014
6043,0.000141131
6045,0.000287905
6047,0.000253273
6049,0.000109176
6051,0.000128765
6053,0.000392614
6055,0.000355068
6057,0.000434746
6059,0.005094807
6061,0.000511926
6063,0.000311708
6065,0.00266842
6067,0.003308807
6069,0.000132943
6071,0.004361749
6073,0.005746216
6075,0.004726278
6077,0.000458518
6079,0.000355457
6081,0.00369979
6083,0.000575389
6085,0.004581573
6087,0.000475797
6089,0.000243874
6091,0.000358578
6093,0.000141271
6095,0.000337909
6097,0.000800878
6099,0.000364613
6101,0.000166444
6103,0.000152867
6105,0.000197273
6107,0.000403291
6109,0.000377487
6111,0.002094881
6113,0.000339209
6115,0.000201007
8001,0.000282957
8003,0.000110032
8005,0.002931168
8007,0.000118906
8009,9.66E-05
8011,0.000135378
8013,0.001143077
8014,0.000237041
8015,0.000151273
8017,9.60E-05
8019,0.000152066
8021,0.000109437
8023,0.000119054
8025,0.000137337
8027,0.000118029
8029,0.000107329
8031,0.002642467
8033,0.000109115
8035,0.00073167
8037,0.000215355
8039,0.000128757
8041,0.001951909
8043,0.000156598
8045,0.000153402
8047,0.000154602
8049,0.00012787
8051,0.000134151
8053,0.000128655
8055,0.000105125
8057,0.000113611
8059,0.001857533
8061,9.52E-05
8063,0.000100914
8065,0.000123479
8067,0.000185051
8069,0.000711835
8071,9.87E-05
8073,0.000129336
8075,0.000104228
8077,0.000202271
8079,0.000141767
8081,9.87E-05
8083,0.000120027
8085,0.000126391
8087,0.000100541
8089,9.72E-05
8091,0.000150615
8093,0.000128921
8095,9.67E-05
8097,0.00019584
8099,9.62E-05
8101,0.000177663
8103,9.93E-05
8105,0.000114449
8107,0.000175147
8109,0.000114846
8111,0.000128405
8113,0.000136787
8115,9.64E-05
8117,0.00018571
